+------------+-------------+
| ps_partkey | value       |
| 163784     | 8730514.34  |
| 5134       | 8728424.64  |
| 155241     | 8725429.86  |
| 188814     | 8724182.40  |
| 140782     | 8720378.75  |
| 153141     | 8719407.51  |
| 169373     | 8718609.06  |
| 41335      | 8714773.80  |
| 197450     | 8714617.32  |
| 87004      | 8714017.79  |
| 181804     | 8712257.76  |
| 122814     | 8711119.14  |
| 109939     | 8709193.16  |
| 98094      | 8708780.04  |
| 74630      | 8708040.75  |
| 197291     | 8706519.09  |
| 184173     | 8705467.45  |
| 192175     | 8705411.12  |
| 19471      | 8702536.12  |
| 18052      | 8702155.70  |
| 135560     | 8698137.72  |
| 152791     | 8697325.80  |
| 170953     | 8696909.19  |
| 116137     | 8696687.17  |
| 7722       | 8696589.40  |
| 49788      | 8694846.71  |
| 13252      | 8694822.42  |
| 12633      | 8694559.36  |
| 193438     | 8690426.72  |
| 17326      | 8689329.16  |
| 96124      | 8679794.58  |
| 143802     | 8676626.48  |
| 30389      | 8675826.60  |
| 75250      | 8675257.14  |
| 72613      | 8673524.94  |
| 123520     | 8672456.25  |
| 325        | 8667741.28  |
| 167291     | 8667556.18  |
| 150119     | 8663403.54  |
| 88420      | 8663355.40  |
| 179784     | 8653021.34  |
| 130884     | 8651970.00  |
| 172611     | 8648217.00  |
| 85373      | 8647796.22  |
| 122717     | 8646758.54  |
| 113431     | 8646348.34  |
| 66015      | 8643349.40  |
| 33141      | 8643243.18  |
| 69786      | 8637396.92  |
| 181857     | 8637393.28  |
| 122939     | 8636378.00  |
| 196223     | 8635391.02  |
| 50532      | 8632648.24  |
| 58102      | 8632614.54  |
| 93581      | 8632372.36  |
| 52804      | 8632109.25  |
| 755        | 8627091.68  |
| 16597      | 8623357.05  |
| 119041     | 8622397.00  |
| 89050      | 8621185.98  |
| 98696      | 8620784.82  |
| 94399      | 8620524.00  |
| 151295     | 8616671.02  |
| 56417      | 8613450.35  |
| 121322     | 8612948.23  |
| 126883     | 8611373.42  |
| 29155      | 8610163.64  |
| 114530     | 8608471.74  |
| 131007     | 8607394.82  |
| 128715     | 8606833.62  |
| 72522      | 8601479.98  |
| 144061     | 8595718.74  |
| 83503      | 8595034.20  |
| 112199     | 8590717.44  |
| 9227       | 8587350.42  |
| 116318     | 8585910.66  |
| 41248      | 8585559.64  |
| 159398     | 8584821.00  |
| 105966     | 8582308.79  |
| 137876     | 8580641.30  |
| 122272     | 8580400.77  |
| 195717     | 8577278.10  |
| 165295     | 8571121.92  |
| 5840       | 8570728.74  |
| 120860     | 8570610.44  |
| 66692      | 8567540.52  |
| 135596     | 8563276.31  |
| 150576     | 8562794.10  |
| 7500       | 8562393.84  |
| 107716     | 8561541.56  |
| 100611     | 8559995.85  |
| 171192     | 8557390.08  |
| 107660     | 8556696.60  |
| 13461      | 8556545.12  |
| 90310      | 8555131.51  |
| 141493     | 8553782.93  |
| 71286      | 8552682.00  |
| 136423     | 8551300.76  |
| 54241      | 8550785.25  |
| 120325     | 8549976.60  |
| 424        | 8547527.10  |
| 196543     | 8545907.09  |
| 13042      | 8542717.18  |
| 58332      | 8536074.69  |
| 9191       | 8535663.92  |
| 134357     | 8535429.90  |
| 96207      | 8534900.60  |
| 92292      | 8530618.78  |
| 181093     | 8528303.52  |
| 105064     | 8527491.60  |
| 59635      | 8526854.08  |
| 136974     | 8524351.56  |
| 126694     | 8522783.37  |
| 6247       | 8522606.90  |
| 139447     | 8522521.92  |
| 96313      | 8520949.92  |
| 108454     | 8520916.25  |
| 181254     | 8519496.10  |
| 71117      | 8519223.00  |
| 131703     | 8517215.28  |
| 59312      | 8510568.36  |
| 2903       | 8509960.35  |
| 102838     | 8509527.69  |
| 162806     | 8508906.05  |
| 41527      | 8508222.36  |
| 118416     | 8505858.36  |
| 180203     | 8505024.16  |
| 14773      | 8500598.28  |
| 140446     | 8499514.24  |
| 199641     | 8497362.59  |
| 109240     | 8494617.12  |
| 150268     | 8494188.38  |
| 45310      | 8492380.65  |
| 36552      | 8490733.60  |
| 199690     | 8490145.80  |
| 185353     | 8488726.68  |
| 163615     | 8484985.01  |
| 196520     | 8483545.04  |
| 133438     | 8483482.35  |
| 77285      | 8481442.32  |
| 55824      | 8476893.90  |
| 76753      | 8475522.12  |
| 46129      | 8472717.96  |
| 28358      | 8472515.50  |
| 9317       | 8472145.32  |
| 33823      | 8469721.44  |
| 39055      | 8469145.07  |
| 91471      | 8468874.56  |
| 142299     | 8466039.55  |
| 97672      | 8464119.80  |
| 134712     | 8461781.79  |
| 157988     | 8460123.20  |
| 102284     | 8458652.44  |
| 73533      | 8458453.32  |
| 90599      | 8457874.86  |
| 112160     | 8457863.36  |
| 124792     | 8457633.70  |
| 66097      | 8457573.15  |
| 165271     | 8456969.01  |
| 146925     | 8454887.91  |
| 164277     | 8454838.50  |
| 131290     | 8454811.20  |
| 179386     | 8450909.90  |
| 90486      | 8447873.86  |
| 175924     | 8444421.66  |
| 185922     | 8442394.88  |
| 38492      | 8436438.32  |
| 172511     | 8436287.34  |
| 139539     | 8434180.29  |
| 11926      | 8433199.52  |
| 55889      | 8431449.88  |
| 163068     | 8431116.40  |
| 138772     | 8428406.36  |
| 126821     | 8425180.68  |
| 22091      | 8420687.88  |
| 55981      | 8419434.38  |
| 100960     | 8419403.46  |
| 172568     | 8417955.21  |
| 63135      | 8415945.53  |
| 137651     | 8413170.35  |
| 191353     | 8413039.84  |
| 62988      | 8411571.48  |
| 103417     | 8411541.12  |
| 12052      | 8411519.28  |
| 104260     | 8408516.55  |
| 157129     | 8405730.08  |
| 77254      | 8405537.22  |
| 112966     | 8403512.89  |
| 168114     | 8402764.56  |
| 49940      | 8402328.20  |
| 52017      | 8398753.60  |
| 176179     | 8398087.00  |
| 100215     | 8395906.61  |
| 61256      | 8392811.20  |
| 15366      | 8388907.80  |
| 109479     | 8388027.20  |
| 66202      | 8386522.83  |
| 81707      | 8385761.19  |
| 51727      | 8385426.40  |
| 9980       | 8382754.62  |
| 174403     | 8378575.73  |
| 54558      | 8378041.92  |
| 3141       | 8377378.22  |
| 134829     | 8377105.52  |
| 145056     | 8376920.76  |
| 194020     | 8375157.64  |
| 7117       | 8373982.27  |
| 120146     | 8373796.20  |
| 126843     | 8370761.28  |
| 62117      | 8369493.44  |
| 111221     | 8367525.81  |
| 159337     | 8366092.26  |
| 173903     | 8365428.48  |
| 136438     | 8364065.45  |
| 56684      | 8363198.00  |
| 137597     | 8363185.94  |
| 20039      | 8361138.24  |
| 121326     | 8359635.52  |
| 48435      | 8352863.10  |
| 1712       | 8349107.00  |
| 167190     | 8347238.70  |
| 32113      | 8346452.04  |
| 40580      | 8342983.32  |
| 74785      | 8342519.13  |
| 14799      | 8342236.75  |
| 177291     | 8341736.83  |
| 198956     | 8340370.65  |
| 69179      | 8338465.99  |
| 118764     | 8337616.56  |
| 128814     | 8336435.56  |
| 82729      | 8331766.88  |
| 152048     | 8330638.99  |
| 171085     | 8326259.50  |
| 126730     | 8325974.40  |
| 77525      | 8323282.50  |
| 170653     | 8322840.50  |
| 5257       | 8320350.78  |
| 67350      | 8318987.56  |
| 109008     | 8317836.54  |
| 199043     | 8316603.54  |
| 139969     | 8316551.54  |
| 22634      | 8316531.24  |
| 173309     | 8315750.25  |
| 10887      | 8315019.36  |
| 42392      | 8312895.96  |
| 126040     | 8312623.20  |
| 101590     | 8304555.42  |
| 46891      | 8302192.12  |
| 138721     | 8301745.62  |
| 113715     | 8301533.20  |
| 78778      | 8299685.64  |
| 142908     | 8299447.77  |
| 64419      | 8297631.80  |
| 21396      | 8296272.27  |
| 4180       | 8295646.92  |
| 63534      | 8295383.67  |
| 135957     | 8294389.86  |
| 30126      | 8291920.32  |
| 158427     | 8288938.00  |
| 14545      | 8288395.92  |
| 75548      | 8288287.20  |
| 64473      | 8286137.44  |
| 149553     | 8285714.88  |
| 151284     | 8283526.65  |
| 171091     | 8282934.36  |
| 194256     | 8278985.34  |
| 952        | 8276136.00  |
| 121541     | 8275390.26  |
| 177664     | 8275315.20  |
| 51117      | 8274504.30  |
| 66770      | 8273407.80  |
| 37238      | 8272728.06  |
| 46679      | 8270486.55  |
| 165852     | 8268312.60  |
| 99458      | 8266564.47  |
| 114519     | 8265493.54  |
| 7231       | 8264881.50  |
| 19033      | 8264826.56  |
| 125123     | 8262732.65  |
| 18642      | 8261578.99  |
| 50386      | 8261380.05  |
| 193770     | 8259578.82  |
| 7276       | 8258101.60  |
| 178045     | 8253904.15  |
| 49033      | 8253696.23  |
| 187195     | 8251334.58  |
| 10590      | 8249227.40  |
| 143779     | 8247057.70  |
| 35205      | 8245675.17  |
| 19729      | 8245081.60  |
| 144946     | 8240479.80  |
| 123786     | 8239581.24  |
| 70843      | 8237973.20  |
| 112437     | 8236907.52  |
| 5436       | 8236039.57  |
| 163754     | 8235471.16  |
| 115945     | 8234811.36  |
| 27918      | 8233957.88  |
| 105712     | 8233571.86  |
| 41007      | 8229431.79  |
| 40476      | 8226640.41  |
| 145620     | 8221371.60  |
| 7771       | 8220413.33  |
| 86424      | 8215572.61  |
| 129137     | 8215478.40  |
| 76020      | 8210495.36  |
| 140213     | 8209831.80  |
| 32379      | 8208338.88  |
| 130616     | 8207715.75  |
| 195469     | 8206609.80  |
| 191805     | 8205147.75  |
| 90906      | 8200951.20  |
| 170910     | 8195558.01  |
| 105399     | 8193122.63  |
| 123798     | 8192385.97  |
| 90218      | 8191689.16  |
| 114766     | 8189339.54  |
| 11289      | 8187354.72  |
| 178308     | 8185750.50  |
| 71271      | 8185519.24  |
| 1115       | 8184903.38  |
| 152636     | 8184530.72  |
| 151619     | 8182909.05  |
| 116943     | 8181072.69  |
| 28891      | 8181051.54  |
| 47049      | 8180955.00  |
| 158827     | 8180470.90  |
| 92620      | 8179671.55  |
| 20814      | 8176953.54  |
| 179323     | 8176795.55  |
| 193453     | 8174343.94  |
| 56888      | 8173342.00  |
| 28087      | 8169876.30  |
| 164254     | 8169632.35  |
| 57661      | 8168848.16  |
| 7363       | 8167538.05  |
| 164499     | 8167512.08  |
| 197557     | 8165940.45  |
| 5495       | 8164805.22  |
| 966        | 8163824.79  |
| 98435      | 8161771.45  |
| 127227     | 8161344.92  |
| 194100     | 8160978.78  |
| 40134      | 8160358.08  |
| 107341     | 8159952.05  |
| 6790       | 8158792.66  |
| 43851      | 8157101.40  |
| 51295      | 8156419.20  |
| 69512      | 8151537.00  |
| 164274     | 8149869.93  |
| 130854     | 8145338.85  |
| 186865     | 8143586.82  |
| 176629     | 8141411.20  |
| 193739     | 8141377.77  |
| 6810       | 8139822.60  |
| 27732      | 8136724.96  |
| 50616      | 8134089.82  |
| 123908     | 8128920.54  |
| 140994     | 8128470.82  |
| 99039      | 8128290.78  |
| 62735      | 8124940.50  |
| 47829      | 8122796.50  |
| 192635     | 8122687.57  |
| 192429     | 8119268.00  |
| 145812     | 8119165.63  |
| 42896      | 8118529.80  |
| 146877     | 8118266.16  |
| 60882      | 8116095.04  |
| 18254      | 8114783.04  |
| 165464     | 8114571.80  |
| 57936      | 8111927.25  |
| 52226      | 8110723.32  |
| 128571     | 8106788.80  |
| 100308     | 8105837.04  |
| 8872       | 8102395.62  |
| 58867      | 8102033.19  |
| 145153     | 8100222.84  |
| 172088     | 8098138.20  |
| 59398      | 8095845.45  |
| 89395      | 8093576.10  |
| 171961     | 8093538.00  |
| 88736      | 8090762.16  |
| 174053     | 8090350.11  |
| 102237     | 8089103.22  |
| 43041      | 8086537.90  |
| 110219     | 8085296.90  |
| 126738     | 8084199.20  |
| 44787      | 8083628.40  |
| 31277      | 8083580.76  |
| 93595      | 8082188.80  |
| 189040     | 8080257.21  |
| 59851      | 8079024.24  |
| 175100     | 8077904.01  |
| 43429      | 8076729.96  |
| 154199     | 8074940.76  |
| 60963      | 8073894.40  |
| 8768       | 8072760.96  |
| 66095      | 8071421.70  |
| 111552     | 8068184.48  |
| 24563      | 8067500.40  |
| 16167      | 8067495.24  |
| 12662      | 8067248.85  |
| 94540      | 8063727.16  |
| 23308      | 8063463.18  |
| 27390      | 8062823.25  |
| 130660     | 8062787.48  |
| 8608       | 8062411.16  |
| 181552     | 8062008.30  |
| 199319     | 8060248.56  |
| 55475      | 8058850.92  |
| 142711     | 8057926.58  |
| 103499     | 8056978.00  |
| 105943     | 8056698.75  |
| 8432       | 8053052.16  |
| 149392     | 8049675.69  |
| 101248     | 8048855.49  |
| 140962     | 8047260.70  |
| 87101      | 8046651.83  |
| 133107     | 8046476.73  |
| 45126      | 8045924.40  |
| 87508      | 8042966.39  |
| 124711     | 8042722.72  |
| 173169     | 8042224.41  |
| 175161     | 8041331.98  |
| 167787     | 8040075.78  |
| 3242       | 8038855.53  |
| 114789     | 8038628.35  |
| 43833      | 8038545.83  |
| 141198     | 8035110.72  |
| 137248     | 8034109.35  |
| 96673      | 8033491.20  |
| 32180      | 8032380.72  |
| 166493     | 8031902.40  |
| 66959      | 8031839.40  |
| 85628      | 8029693.44  |
| 110971     | 8029469.70  |
| 130395     | 8027463.92  |
| 7757       | 8026840.37  |
| 178446     | 8025379.09  |
| 41295      | 8024785.53  |
| 100956     | 8024179.30  |
| 131917     | 8021604.78  |
